date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023-06-01,28.38,35.44,21.47,56.12,2.87,0.19,7.43,7.72
2023-06-02,29.31,35.22,22.45,55.83,2.4,0.0,6.68,7.66
2023-06-03,31.55,37.24,25.5,50.16,1.59,0.01,7.15,7.6
2023-06-04,30.56,35.28,25.89,53.07,2.64,0.03,5.89,7.26
2023-06-05,31.41,37.95,24.3,43.57,1.97,0.0,7.98,8.01
2023-06-06,32.55,39.72,25.24,40.4,1.73,0.0,7.51,7.82
2023-06-07,32.56,39.38,27.16,40.58,2.54,0.0,7.94,7.98
2023-06-08,33.1,39.46,26.1,45.06,3.52,1.14,7.27,7.9
2023-06-09,32.38,39.18,26.48,48.05,3.84,5.08,7.94,8.01
2023-06-10,32.4,39.55,26.19,44.22,4.77,1.98,7.92,8.01
2023-06-11,32.4,38.68,26.42,49.48,4.39,0.01,7.85,8.07
2023-06-12,33.58,40.46,27.1,45.36,4.51,0.0,7.89,7.94
2023-06-13,34.05,40.8,27.8,42.11,4.9,0.0,7.69,8.0
2023-06-14,33.42,39.23,27.71,43.14,5.0,0.0,7.51,7.87
2023-06-15,33.37,38.51,28.71,44.13,4.06,0.26,6.65,7.68
2023-06-16,32.71,37.8,27.31,46.93,3.56,0.28,6.16,7.35
2023-06-17,29.53,32.3,27.61,60.59,5.68,2.51,4.44,7.53
2023-06-18,29.15,32.8,26.56,74.09,4.89,9.75,1.67,7.5
2023-06-19,27.38,29.29,25.48,81.26,5.72,37.25,4.68,7.32
2023-06-20,30.54,35.53,25.25,69.3,3.22,12.5,5.51,7.15
2023-06-21,30.94,36.7,25.83,65.74,4.75,2.02,6.39,7.16
2023-06-22,31.19,37.43,26.13,63.4,4.2,0.24,4.92,6.8
2023-06-23,32.4,38.68,26.68,57.96,4.07,0.48,5.21,6.67
2023-06-24,30.96,36.86,26.69,65.81,3.59,2.88,5.69,6.57
2023-06-25,27.77,30.41,25.31,80.72,2.34,6.48,4.13,6.55
