date,year,month,day,day_of_week,solar_mwh
2023-06-01,2023,6,1,Thursday,95310.0
2023-06-02,2023,6,2,Friday,110250.0
2023-06-03,2023,6,3,Saturday,110430.0
2023-06-04,2023,6,4,Sunday,120770.0
2023-06-05,2023,6,5,Monday,112970.0
2023-06-06,2023,6,6,Tuesday,101890.0
2023-06-07,2023,6,7,Wednesday,113440.0
2023-06-08,2023,6,8,Thursday,115290.0
2023-06-09,2023,6,9,Friday,115210.0
2023-06-10,2023,6,10,Saturday,113720.0
2023-06-11,2023,6,11,Sunday,113120.0
2023-06-12,2023,6,12,Monday,120290.0
2023-06-13,2023,6,13,Tuesday,114070.0
2023-06-14,2023,6,14,Wednesday,115040.0
2023-06-15,2023,6,15,Thursday,103440.0
2023-06-16,2023,6,16,Friday,75060.0
2023-06-17,2023,6,17,Saturday,55160.0
2023-06-18,2023,6,18,Sunday,89890.0
2023-06-19,2023,6,19,Monday,119480.0
2023-06-20,2023,6,20,Tuesday,121130.0
2023-06-21,2023,6,21,Wednesday,125100.0
2023-06-22,2023,6,22,Thursday,123310.0
2023-06-23,2023,6,23,Friday,125280.0
2023-06-24,2023,6,24,Saturday,123670.0
2023-06-25,2023,6,25,Sunday,112130.0
2023-06-26,2023,6,26,Monday,105820.0
2023-06-27,2023,6,27,Tuesday,105290.0
2023-06-28,2023,6,28,Wednesday,107380.0
2023-06-29,2023,6,29,Thursday,105250.0
2023-06-30,2023,6,30,Friday,114060.0
2023-07-01,2023,7,1,Saturday,117370.0
2023-07-02,2023,7,2,Sunday,120600.0
2023-07-03,2023,7,3,Monday,124290.0
2023-07-04,2023,7,4,Tuesday,122200.0
2023-07-05,2023,7,5,Wednesday,115510.0
2023-07-06,2023,7,6,Thursday,96280.0
2023-07-07,2023,7,7,Friday,89970.0
2023-07-08,2023,7,8,Saturday,88890.0
2023-07-09,2023,7,9,Sunday,103650.0
2023-07-10,2023,7,10,Monday,108060.0
2023-07-11,2023,7,11,Tuesday,116420.0
2023-07-12,2023,7,12,Wednesday,122740.0
2023-07-13,2023,7,13,Thursday,123090.0
2023-07-14,2023,7,14,Friday,115950.0
2023-07-15,2023,7,15,Saturday,122110.0
2023-07-16,2023,7,16,Sunday,114950.0
2023-07-17,2023,7,17,Monday,109540.0
2023-07-18,2023,7,18,Tuesday,109760.0
2023-07-19,2023,7,19,Wednesday,90140.0
2023-07-20,2023,7,20,Thursday,99040.00000000001
2023-07-21,2023,7,21,Friday,98109.99999999996
2023-07-22,2023,7,22,Saturday,92920.0
2023-07-23,2023,7,23,Sunday,101430.00000000001
2023-07-24,2023,7,24,Monday,94500.0
2023-07-25,2023,7,25,Tuesday,67960.00000000001
2023-07-26,2023,7,26,Wednesday,79400.00000000001
2023-07-27,2023,7,27,Thursday,50250.00000000001
2023-07-28,2023,7,28,Friday,71990.0
2023-07-29,2023,7,29,Saturday,89900.0
2023-07-30,2023,7,30,Sunday,104760.0
2023-07-31,2023,7,31,Monday,112410.0
2023-08-01,2023,8,1,Tuesday,117320.00000000003
2023-08-02,2023,8,2,Wednesday,107060.00000000001
2023-08-03,2023,8,3,Thursday,101920.0
2023-08-04,2023,8,4,Friday,107090.0
2023-08-05,2023,8,5,Saturday,111250.0
2023-08-06,2023,8,6,Sunday,113480.0
2023-08-07,2023,8,7,Monday,113560.00000000004
2023-08-08,2023,8,8,Tuesday,109790.0
2023-08-09,2023,8,9,Wednesday,108600.00000000003
2023-08-10,2023,8,10,Thursday,108440.00000000004
2023-08-11,2023,8,11,Friday,106029.99999999996
2023-08-12,2023,8,12,Saturday,116290.00000000001
2023-08-13,2023,8,13,Sunday,113539.99999999997
2023-08-14,2023,8,14,Monday,105980.00000000004
2023-08-15,2023,8,15,Tuesday,88840.0
2023-08-16,2023,8,16,Wednesday,109550.0
2023-08-17,2023,8,17,Thursday,109170.0
2023-08-18,2023,8,18,Friday,115320.0
2023-08-19,2023,8,19,Saturday,108640.0
2023-08-20,2023,8,20,Sunday,88490.0
2023-08-21,2023,8,21,Monday,114990.0
2023-08-22,2023,8,22,Tuesday,122890.0
2023-08-23,2023,8,23,Wednesday,113920.00000000001
2023-08-24,2023,8,24,Thursday,110060.0
2023-08-25,2023,8,25,Friday,108509.99999999996
2023-08-26,2023,8,26,Saturday,104200.0
2023-08-27,2023,8,27,Sunday,106830.0
2023-08-28,2023,8,28,Monday,112770.0
2023-08-29,2023,8,29,Tuesday,108950.0
2023-08-30,2023,8,30,Wednesday,119459.99999999999
2023-08-31,2023,8,31,Thursday,122710.00000000003
2023-09-01,2023,9,1,Friday,122170.00000000001
2023-09-02,2023,9,2,Saturday,124270.0
2023-09-03,2023,9,3,Sunday,125699.99999999996
2023-09-04,2023,9,4,Monday,123480.0
2023-09-05,2023,9,5,Tuesday,122050.0
2023-09-06,2023,9,6,Wednesday,118950.0
2023-09-07,2023,9,7,Thursday,117860.0
2023-09-08,2023,9,8,Friday,116009.99999999997
2023-09-09,2023,9,9,Saturday,116820.0
2023-09-10,2023,9,10,Sunday,114800.0
2023-09-11,2023,9,11,Monday,116440.0
2023-09-12,2023,9,12,Tuesday,115639.99999999996
2023-09-13,2023,9,13,Wednesday,111489.99999999999
2023-09-14,2023,9,14,Thursday,91110.0
2023-09-15,2023,9,15,Friday,92080.0
2023-09-16,2023,9,16,Saturday,105960.0
2023-09-17,2023,9,17,Sunday,92920.00000000001
2023-09-18,2023,9,18,Monday,56239.99999999998
2023-09-19,2023,9,19,Tuesday,74050.00000000001
2023-09-20,2023,9,20,Wednesday,99740.0
2023-09-21,2023,9,21,Thursday,112000.00000000004
2023-09-22,2023,9,22,Friday,116519.99999999999
2023-09-23,2023,9,23,Saturday,113910.00000000004
2023-09-24,2023,9,24,Sunday,108930.00000000001
2023-09-25,2023,9,25,Monday,115350.0
2023-09-26,2023,9,26,Tuesday,106250.00000000006
2023-09-27,2023,9,27,Wednesday,101330.0
2023-09-28,2023,9,28,Thursday,111669.99999999996
2023-09-29,2023,9,29,Friday,114550.0
2023-09-30,2023,9,30,Saturday,110650.0
2023-10-01,2023,10,1,Sunday,100330.0
2023-10-02,2023,10,2,Monday,113399.99999999996
2023-10-03,2023,10,3,Tuesday,120099.99999999997
2023-10-04,2023,10,4,Wednesday,117010.0
2023-10-05,2023,10,5,Thursday,117820.0
2023-10-06,2023,10,6,Friday,115870.0
2023-10-07,2023,10,7,Saturday,114900.0
2023-10-08,2023,10,8,Sunday,111769.99999999996
2023-10-09,2023,10,9,Monday,111540.00000000003
2023-10-10,2023,10,10,Tuesday,111830.00000000004
2023-10-11,2023,10,11,Wednesday,109180.0
2023-10-12,2023,10,12,Thursday,107900.0
2023-10-13,2023,10,13,Friday,111750.0
2023-10-14,2023,10,14,Saturday,109140.0
2023-10-15,2023,10,15,Sunday,103459.99999999999
2023-10-16,2023,10,16,Monday,66679.99999999999
2023-10-17,2023,10,17,Tuesday,82819.99999999999
2023-10-18,2023,10,18,Wednesday,109369.99999999997
2023-10-19,2023,10,19,Thursday,105120.00000000001
2023-10-20,2023,10,20,Friday,103750.0
2023-10-21,2023,10,21,Saturday,98600.00000000004
2023-10-22,2023,10,22,Sunday,93370.00000000001
2023-10-23,2023,10,23,Monday,102939.99999999999
2023-10-24,2023,10,24,Tuesday,99190.00000000004
2023-10-25,2023,10,25,Wednesday,102560.00000000001
2023-10-26,2023,10,26,Thursday,104839.99999999991
2023-10-27,2023,10,27,Friday,102110.0
2023-10-28,2023,10,28,Saturday,81080.0
2023-10-29,2023,10,29,Sunday,100590.0
2023-10-30,2023,10,30,Monday,93489.99999999997
2023-10-31,2023,10,31,Tuesday,84800.00000000001
2023-11-01,2023,11,1,Wednesday,83300.00000000001
2023-11-02,2023,11,2,Thursday,89040.0
2023-11-03,2023,11,3,Friday,88110.0
2023-11-04,2023,11,4,Saturday,86560.0
2023-11-05,2023,11,5,Sunday,90429.99999999999
2023-11-06,2023,11,6,Monday,89299.99999999999
2023-11-07,2023,11,7,Tuesday,82770.00000000004
2023-11-08,2023,11,8,Wednesday,72490.00000000004
2023-11-09,2023,11,9,Thursday,59210.00000000002
2023-11-10,2023,11,10,Friday,95770.0
2023-11-11,2023,11,11,Saturday,91310.0
2023-11-12,2023,11,12,Sunday,103050.0
2023-11-13,2023,11,13,Monday,88859.99999999999
2023-11-14,2023,11,14,Tuesday,86800.00000000001
2023-11-15,2023,11,15,Wednesday,85940.0
2023-11-16,2023,11,16,Thursday,91680.0
2023-11-17,2023,11,17,Friday,68039.99999999997
2023-11-18,2023,11,18,Saturday,73520.0
2023-11-19,2023,11,19,Sunday,69079.99999999999
2023-11-20,2023,11,20,Monday,78260.00000000001
2023-11-21,2023,11,21,Tuesday,77560.0
2023-11-22,2023,11,22,Wednesday,87700.00000000001
2023-11-23,2023,11,23,Thursday,87740.00000000003
2023-11-24,2023,11,24,Friday,85620.00000000001
2023-11-25,2023,11,25,Saturday,68630.00000000001
2023-11-26,2023,11,26,Sunday,17040.000000000004
2023-11-27,2023,11,27,Monday,35510.0
2023-11-28,2023,11,28,Tuesday,59980.000000000015
2023-11-29,2023,11,29,Wednesday,64709.99999999998
2023-11-30,2023,11,30,Thursday,77960.00000000001
2023-12-01,2023,12,1,Friday,72719.99999999999
2023-12-02,2023,12,2,Saturday,86829.99999999999
2023-12-03,2023,12,3,Sunday,91810.00000000001
2023-12-04,2023,12,4,Monday,96060.0
2023-12-05,2023,12,5,Tuesday,95530.0
2023-12-06,2023,12,6,Wednesday,92100.0
2023-12-07,2023,12,7,Thursday,92790.00000000001
2023-12-08,2023,12,8,Friday,95499.99999999996
2023-12-09,2023,12,9,Saturday,96229.99999999996
2023-12-10,2023,12,10,Sunday,93970.0
2023-12-11,2023,12,11,Monday,97740.0
2023-12-12,2023,12,12,Tuesday,91319.99999999999
2023-12-13,2023,12,13,Wednesday,93760.00000000001
2023-12-14,2023,12,14,Thursday,95539.99999999997
2023-12-15,2023,12,15,Friday,91230.0
2023-12-16,2023,12,16,Saturday,90670.00000000004
2023-12-17,2023,12,17,Sunday,92280.00000000001
2023-12-18,2023,12,18,Monday,92310.0
2023-12-19,2023,12,19,Tuesday,87660.0
2023-12-20,2023,12,20,Wednesday,89830.0
2023-12-21,2023,12,21,Thursday,98709.99999999999
2023-12-22,2023,12,22,Friday,85870.00000000001
2023-12-23,2023,12,23,Saturday,95440.0
2023-12-24,2023,12,24,Sunday,77770.00000000001
2023-12-25,2023,12,25,Monday,84679.99999999999
2023-12-26,2023,12,26,Tuesday,86080.00000000003
2023-12-27,2023,12,27,Wednesday,87070.00000000001
2023-12-28,2023,12,28,Thursday,97900.0
2023-12-29,2023,12,29,Friday,92670.0
2023-12-30,2023,12,30,Saturday,79410.0
2023-12-31,2023,12,31,Sunday,86160.0
2024-01-01,2024,1,1,Monday,73679.99999999999
2024-01-02,2024,1,2,Tuesday,81330.0
2024-01-03,2024,1,3,Wednesday,87779.99999999997
2024-01-04,2024,1,4,Thursday,76020.00000000004
2024-01-05,2024,1,5,Friday,86740.00000000004
2024-01-06,2024,1,6,Saturday,87670.0
2024-01-07,2024,1,7,Sunday,65150.00000000001
2024-01-08,2024,1,8,Monday,58390.00000000001
2024-01-09,2024,1,9,Tuesday,71750.00000000001
2024-01-10,2024,1,10,Wednesday,89980.00000000003
2024-01-11,2024,1,11,Thursday,109640.0
2024-01-12,2024,1,12,Friday,108290.00000000001
2024-01-13,2024,1,13,Saturday,91820.0
2024-01-14,2024,1,14,Sunday,90890.0
2024-01-15,2024,1,15,Monday,105030.00000000004
2024-01-16,2024,1,16,Tuesday,100949.99999999996
2024-01-17,2024,1,17,Wednesday,80300.00000000001
2024-01-18,2024,1,18,Thursday,85790.0
2024-01-19,2024,1,19,Friday,103730.00000000004
2024-01-20,2024,1,20,Saturday,101380.0
2024-01-21,2024,1,21,Sunday,84500.0
2024-01-22,2024,1,22,Monday,96739.99999999997
2024-01-23,2024,1,23,Tuesday,83220.0
2024-01-24,2024,1,24,Wednesday,88140.00000000003
2024-01-25,2024,1,25,Thursday,96039.99999999997
2024-01-26,2024,1,26,Friday,84650.0
2024-01-27,2024,1,27,Saturday,77720.0
2024-01-28,2024,1,28,Sunday,70999.99999999999
2024-01-29,2024,1,29,Monday,90660.0
2024-01-30,2024,1,30,Tuesday,54280.00000000001
2024-01-31,2024,1,31,Wednesday,93950.0
2024-02-01,2024,2,1,Thursday,109470.0
2024-02-02,2024,2,2,Friday,93030.0
2024-02-03,2024,2,3,Saturday,51869.999999999985
2024-02-04,2024,2,4,Sunday,57629.99999999996
2024-02-05,2024,2,5,Monday,112029.99999999996
2024-02-06,2024,2,6,Tuesday,109020.0
2024-02-07,2024,2,7,Wednesday,101429.99999999999
2024-02-08,2024,2,8,Thursday,115340.00000000001
2024-02-09,2024,2,9,Friday,130030.00000000003
2024-02-10,2024,2,10,Saturday,129629.99999999994
2024-02-11,2024,2,11,Sunday,126830.0
2024-02-12,2024,2,12,Monday,82059.99999999996
2024-02-13,2024,2,13,Tuesday,96290.00000000001
2024-02-14,2024,2,14,Wednesday,119770.00000000004
2024-02-15,2024,2,15,Thursday,127049.99999999999
2024-02-16,2024,2,16,Friday,121250.0
2024-02-17,2024,2,17,Saturday,126029.99999999996
2024-02-18,2024,2,18,Sunday,111990.0
2024-02-19,2024,2,19,Monday,106910.0
2024-02-20,2024,2,20,Tuesday,118080.0
2024-02-21,2024,2,21,Wednesday,119390.0
2024-02-22,2024,2,22,Thursday,124860.00000000006
2024-02-23,2024,2,23,Friday,133550.0
2024-02-24,2024,2,24,Saturday,135490.0
2024-02-25,2024,2,25,Sunday,121210.0
2024-02-26,2024,2,26,Monday,85339.99999999999
2024-02-27,2024,2,27,Tuesday,128520.00000000001
2024-02-28,2024,2,28,Wednesday,136310.0
2024-02-29,2024,2,29,Thursday,133309.99999999997
2024-03-01,2024,3,1,Friday,73940.00000000001
2024-03-02,2024,3,2,Saturday,108449.99999999996
2024-03-03,2024,3,3,Sunday,146390.0
2024-03-04,2024,3,4,Monday,145110.0
2024-03-05,2024,3,5,Tuesday,125459.99999999999
2024-03-06,2024,3,6,Wednesday,116899.99999999997
2024-03-07,2024,3,7,Thursday,137830.00000000006
2024-03-08,2024,3,8,Friday,143470.00000000006
2024-03-09,2024,3,9,Saturday,140410.00000000006
2024-03-10,2024,3,10,Sunday,113529.99999999996
2024-03-11,2024,3,11,Monday,138780.00000000003
2024-03-12,2024,3,12,Tuesday,139289.99999999994
2024-03-13,2024,3,13,Wednesday,127680.0
2024-03-14,2024,3,14,Thursday,140599.99999999994
2024-03-15,2024,3,15,Friday,139670.0
2024-03-16,2024,3,16,Saturday,146300.0
2024-03-17,2024,3,17,Sunday,133390.00000000003
2024-03-18,2024,3,18,Monday,143810.0
2024-03-19,2024,3,19,Tuesday,139529.99999999997
2024-03-20,2024,3,20,Wednesday,141810.0
2024-03-21,2024,3,21,Thursday,130380.00000000003
2024-03-22,2024,3,22,Friday,138050.0
2024-03-23,2024,3,23,Saturday,126940.0
2024-03-24,2024,3,24,Sunday,122999.99999999996
2024-03-25,2024,3,25,Monday,121759.99999999996
2024-03-26,2024,3,26,Tuesday,124180.00000000001
2024-03-27,2024,3,27,Wednesday,127890.00000000004
2024-03-28,2024,3,28,Thursday,129600.00000000003
2024-03-29,2024,3,29,Friday,133530.00000000003
2024-03-30,2024,3,30,Saturday,142150.00000000003
2024-03-31,2024,3,31,Sunday,137430.0
2024-04-01,2024,4,1,Monday,134300.0
2024-04-02,2024,4,2,Tuesday,132709.99999999997
2024-04-03,2024,4,3,Wednesday,126600.0
2024-04-04,2024,4,4,Thursday,129449.99999999996
2024-04-05,2024,4,5,Friday,97670.0
2024-04-06,2024,4,6,Saturday,142350.00000000006
2024-04-07,2024,4,7,Sunday,141289.99999999997
2024-04-08,2024,4,8,Monday,144780.0
2024-04-09,2024,4,9,Tuesday,118320.0
2024-04-10,2024,4,10,Wednesday,128150.0
2024-04-11,2024,4,11,Thursday,132800.00000000003
2024-04-12,2024,4,12,Friday,123260.0
2024-04-13,2024,4,13,Saturday,98480.0
2024-04-14,2024,4,14,Sunday,113120.0
2024-04-15,2024,4,15,Monday,109879.99999999997
2024-04-16,2024,4,16,Tuesday,147620.0
2024-04-17,2024,4,17,Wednesday,118109.99999999996
2024-04-18,2024,4,18,Thursday,96870.00000000003
2024-04-19,2024,4,19,Friday,149080.00000000003
2024-04-20,2024,4,20,Saturday,140049.99999999997
2024-04-21,2024,4,21,Sunday,136780.0
2024-04-22,2024,4,22,Monday,150260.00000000003
2024-04-23,2024,4,23,Tuesday,153640.0
2024-04-24,2024,4,24,Wednesday,146160.0
2024-04-25,2024,4,25,Thursday,146150.00000000003
2024-04-26,2024,4,26,Friday,153260.0
2024-04-27,2024,4,27,Saturday,147470.00000000003
2024-04-28,2024,4,28,Sunday,138029.99999999997
2024-04-29,2024,4,29,Monday,152429.99999999994
2024-04-30,2024,4,30,Tuesday,159180.0
2024-05-01,2024,5,1,Wednesday,161839.99999999994
2024-05-02,2024,5,2,Thursday,154739.99999999997
2024-05-03,2024,5,3,Friday,129260.00000000001
2024-05-04,2024,5,4,Saturday,149049.99999999997
2024-05-05,2024,5,5,Sunday,148210.0
2024-05-06,2024,5,6,Monday,139650.0
2024-05-07,2024,5,7,Tuesday,140740.00000000003
2024-05-08,2024,5,8,Wednesday,154169.99999999997
2024-05-09,2024,5,9,Thursday,144390.00000000003
2024-05-10,2024,5,10,Friday,145000.0
2024-05-11,2024,5,11,Saturday,136629.99999999997
2024-05-12,2024,5,12,Sunday,154460.0
2024-05-13,2024,5,13,Monday,140040.0
2024-05-14,2024,5,14,Tuesday,144030.00000000003
2024-05-15,2024,5,15,Wednesday,139899.99999999997
2024-05-16,2024,5,16,Thursday,138000.00000000003
2024-05-17,2024,5,17,Friday,146459.99999999997
2024-05-18,2024,5,18,Saturday,145930.00000000003
2024-05-19,2024,5,19,Sunday,138909.99999999997
2024-05-20,2024,5,20,Monday,149060.0
2024-05-21,2024,5,21,Tuesday,153940.0
2024-05-22,2024,5,22,Wednesday,144810.0
2024-05-23,2024,5,23,Thursday,154360.0
2024-05-24,2024,5,24,Friday,147980.0
2024-05-25,2024,5,25,Saturday,143069.99999999997
2024-05-26,2024,5,26,Sunday,147640.0
2024-05-27,2024,5,27,Monday,151049.99999999997
2024-05-28,2024,5,28,Tuesday,152579.99999999994
2024-05-29,2024,5,29,Wednesday,157820.0
2024-05-30,2024,5,30,Thursday,160760.00000000003
2024-05-31,2024,5,31,Friday,158799.99999999997
2024-06-01,2024,6,1,Saturday,161009.99999999997
2024-06-02,2024,6,2,Sunday,153689.9999999999
2024-06-03,2024,6,3,Monday,152210.00000000003
2024-06-04,2024,6,4,Tuesday,152130.0
2024-06-05,2024,6,5,Wednesday,157849.99999999994
2024-06-06,2024,6,6,Thursday,150410.00000000006
2024-06-07,2024,6,7,Friday,142959.99999999997
2024-06-08,2024,6,8,Saturday,145300.00000000003
2024-06-09,2024,6,9,Sunday,149679.99999999997
2024-06-10,2024,6,10,Monday,151089.99999999994
2024-06-11,2024,6,11,Tuesday,150900.00000000003
2024-06-12,2024,6,12,Wednesday,152710.00000000003
2024-06-13,2024,6,13,Thursday,149899.99999999997
2024-06-14,2024,6,14,Friday,156380.00000000003
2024-06-15,2024,6,15,Saturday,157290.00000000003
2024-06-16,2024,6,16,Sunday,152330.0
2024-06-17,2024,6,17,Monday,154690.00000000003
2024-06-18,2024,6,18,Tuesday,155069.99999999997
2024-06-19,2024,6,19,Wednesday,153520.00000000003
2024-06-20,2024,6,20,Thursday,150930.0
2024-06-21,2024,6,21,Friday,128809.99999999997
2024-06-22,2024,6,22,Saturday,121879.99999999997
2024-06-23,2024,6,23,Sunday,146359.99999999997
2024-06-24,2024,6,24,Monday,145710.0
2024-06-25,2024,6,25,Tuesday,133460.0
2024-06-26,2024,6,26,Wednesday,110980.0
2024-06-27,2024,6,27,Thursday,119550.0
2024-06-28,2024,6,28,Friday,103070.0
2024-06-29,2024,6,29,Saturday,97860.00000000004
2024-06-30,2024,6,30,Sunday,142089.99999999994
2024-07-01,2024,7,1,Monday,145230.0
2024-07-02,2024,7,2,Tuesday,147510.0
2024-07-03,2024,7,3,Wednesday,151400.0
2024-07-04,2024,7,4,Thursday,126350.0
2024-07-05,2024,7,5,Friday,136850.0
2024-07-06,2024,7,6,Saturday,137230.0
2024-07-07,2024,7,7,Sunday,97860.0
2024-07-08,2024,7,8,Monday,110810.0
2024-07-09,2024,7,9,Tuesday,143580.0
2024-07-10,2024,7,10,Wednesday,147420.0
2024-07-11,2024,7,11,Thursday,150450.0
2024-07-12,2024,7,12,Friday,141080.0
2024-07-13,2024,7,13,Saturday,131980.0
2024-07-14,2024,7,14,Sunday,124290.0
2024-07-15,2024,7,15,Monday,144330.0
2024-07-16,2024,7,16,Tuesday,143860.0
2024-07-17,2024,7,17,Wednesday,124150.0
2024-07-18,2024,7,18,Thursday,133270.0
2024-07-19,2024,7,19,Friday,141960.0
2024-07-20,2024,7,20,Saturday,117770.0
2024-07-21,2024,7,21,Sunday,135830.0
2024-07-22,2024,7,22,Monday,128410.0
2024-07-23,2024,7,23,Tuesday,136550.0
2024-07-24,2024,7,24,Wednesday,134110.0
2024-07-25,2024,7,25,Thursday,130440.0
