date,gen_solar_mu,statecare_solar_mu
2023-06-01,95.31,21.66
2023-06-02,110.25,25.83
2023-06-03,110.42999999999999,24.83
2023-06-04,120.77,27.36
2023-06-05,112.97,26.3
2023-06-06,101.88999999999999,22.43
2023-06-07,113.44,24.93
2023-06-08,115.29,24.86
2023-06-09,115.21000000000001,23.48
2023-06-10,113.72,23.17
2023-06-11,113.12,23.19
2023-06-12,120.29,24.39
2023-06-13,114.07000000000001,24.14
2023-06-14,115.03999999999999,23.71
2023-06-15,103.44,21.86
2023-06-16,75.06,16.49
2023-06-17,55.16,11.83
2023-06-18,89.89,18.2
2023-06-19,119.48,24.81
2023-06-20,121.13,25.56
2023-06-21,125.1,27.05
2023-06-22,123.31,25.8
2023-06-23,125.28,25.83
2023-06-24,123.67,26.23
2023-06-25,112.13000000000001,21.84
2023-06-26,105.82000000000001,21.7
2023-06-27,105.28999999999999,23.4
2023-06-28,107.38,24.06
2023-06-29,105.25,22.07
2023-06-30,114.05999999999999,24.74
2023-07-01,117.37,25.04
2023-07-02,120.60000000000001,26.09
2023-07-03,124.29,26.92
2023-07-04,122.19999999999999,26.41
2023-07-05,115.50999999999999,24.88
2023-07-06,96.28,20.83
2023-07-07,89.97,17.21
2023-07-08,88.89,19.84
2023-07-09,103.65,22.71
2023-07-10,108.06,22.15
2023-07-11,116.42,22.15
2023-07-12,122.74,26.8
2023-07-13,123.09,26.66
2023-07-14,115.94999999999999,25.54
2023-07-15,122.11,25.72
2023-07-16,114.95,24.01
2023-07-17,109.53999999999999,23.8
2023-07-18,109.76,23.29
2023-07-19,90.13999999999999,19.29
2023-07-20,99.04000000000002,21.52
2023-07-21,98.10999999999996,22.56
2023-07-22,92.92,20.19
2023-07-23,101.43000000000002,22.96
2023-07-24,94.49999999999999,20.87
2023-07-25,67.96000000000001,15.01
2023-07-26,79.40000000000002,18.99
2023-07-27,50.25000000000001,8.63
2023-07-28,71.99,16.44
2023-07-29,89.9,21.67
2023-07-30,104.76,24.0
2023-07-31,112.41000000000001,25.44
2023-08-01,117.32000000000004,26.41
2023-08-02,107.06000000000002,23.19
2023-08-03,101.91999999999999,22.17
2023-08-04,107.08999999999999,24.15
2023-08-05,111.24999999999999,25.26
2023-08-06,113.47999999999999,24.59
2023-08-07,113.56000000000003,25.38
2023-08-08,109.79,24.25
2023-08-09,108.60000000000002,23.46
2023-08-10,108.44000000000004,23.87
2023-08-11,106.02999999999997,22.46
2023-08-12,116.29000000000002,25.71
2023-08-13,113.53999999999998,24.31
2023-08-14,105.98000000000003,23.38
2023-08-15,88.84,18.96
2023-08-16,109.55,23.56
2023-08-17,109.17,23.9
2023-08-18,115.32,25.57
2023-08-19,108.64000000000001,23.27
2023-08-20,88.49,20.5
2023-08-21,114.99000000000001,25.63
2023-08-22,122.88999999999999,27.22
2023-08-23,113.92000000000002,23.7
2023-08-24,110.06,24.72
2023-08-25,108.50999999999996,23.68
2023-08-26,104.2,22.36
2023-08-27,106.83000000000001,23.06
2023-08-28,112.77000000000001,24.42
2023-08-29,108.95,23.96
2023-08-30,119.45999999999998,26.11
2023-08-31,122.71000000000002,27.28
2023-09-01,122.17000000000002,27.92
2023-09-02,124.27000000000001,28.78
2023-09-03,125.69999999999997,27.41
2023-09-04,123.47999999999999,28.09
2023-09-05,122.05000000000001,26.99
2023-09-06,118.94999999999999,26.12
2023-09-07,117.86000000000001,26.05
2023-09-08,116.00999999999998,25.3
2023-09-09,116.82000000000001,25.79
2023-09-10,114.8,25.37
2023-09-11,116.44000000000001,25.73
2023-09-12,115.63999999999996,25.93
2023-09-13,111.48999999999998,24.28
2023-09-14,91.10999999999999,20.62
2023-09-15,92.08,19.84
2023-09-16,105.96,21.28
2023-09-17,92.92000000000002,20.59
2023-09-18,56.23999999999998,11.05
2023-09-19,74.05000000000001,14.35
2023-09-20,99.74000000000001,21.82
2023-09-21,112.00000000000004,24.82
2023-09-22,116.51999999999998,26.39
2023-09-23,113.91000000000003,24.69
2023-09-24,108.93000000000002,23.27
2023-09-25,115.35000000000001,26.0
2023-09-26,106.25000000000006,23.37
